ltl,en
F ( red room & ~  blue room ),"navigate to the red room , always avoiding the blue room ."
F ( landmark three & F ( landmark one ) ),go to landmark three before going to landmark one .
~   ( green room ) U ( landmark three ),avoid the green room until going through landmark three .
~   ( landmark one ) U ( purple room ),avoid landmark one until navigating to the purple room .
F ( second floor & F ( orange room ) ),navigate to the orange room after going to the second floor .
F ( landmark three ) & G ( yellow room ),go to landmark three by only stepping in the yellow room .
F ( landmark three & F ( first floor ) ),move to the first floor but go through landmark three first .
~   ( purple room ) U ( orange room ),go to the orange room avoiding the purple room . only if you reached the orange room then you may proceed to the purple room .
F ( second floor & ~  landmark one ),avoid landmark one and go to the second floor .
F ( red room & F ( green room ) ),go to the green room by first going through the red room .
F ( landmark one & F ( orange room ) ),go to the orange room by first visiting landmark one .
~   ( purple room ) U ( third floor ),go to the third floor avoiding the purple room . if you get to third floor you can then proceed to the purple room
F ( landmark three ),go to landmark three .
F ( third floor & F ( yellow room ) ),go to the third floor then go to the yellow room
F ( orange room & F ( purple room ) ),go to the orange room and then go to the purple room .
~   ( red room ) U ( orange room ),go to the orange room and if you have reached the orange room you may proceed to the red room or stay in the orange room .
F ( first floor & ~  red room ),go to the first floor but never go to the red room .
F ( purple room ) & G ( third floor ),navigate to the purple room staying on the third floor .
F ( yellow room & F ( purple room ) ),go through the yellow room to the purple room .
F ( orange room & F ( landmark two ) ),move to the orange room first then travel to landmark two .
F ( orange room ) & G ( third floor ),do not navigate away from the third floor and go to the orange room .
F ( red room & F ( yellow room ) ),navigate to the yellow room through the red room .
F ( landmark three ) & G ( yellow room ),do n't leave the yellow room and go to landmark three .
~   ( green room ) U ( red room ),go to the red room but do not enter the green room first .
F ( landmark two ) & G ( purple room ),stay in the purple room and go to landmark two .
F ( yellow room & ~  landmark two ),go to the yellow room while avoiding landmark two
F ( landmark three & ~  green room ),"while always avoiding the green room , go to landmark three ."
F ( landmark one ) & G ( orange room ),"while remaining within the orange room , go to landmark one ."
F ( landmark two & F ( orange room ) ),go to landmark two before going to the orange room .
F ( second floor ),go to the second floor
~   ( landmark three ) U ( blue room ),avoid landmark three until going to the blue room .
~   ( landmark three ) U ( yellow room ),go to or through the yellow room . always avoid going to the yellow room through landmark three
F ( second floor & F ( first floor ) ),go to the first floor after you go to the second floor .
F ( landmark two & F ( blue room ) ),go to landmark two before going to the blue room .
F ( landmark two ) & G ( blue room ),do directly to landmark two without leaving the blue room .
~   ( red room ) U ( blue room ),go to the blue room while avoiding the red room and if you have reached the blue room then you can go to the red room .
F ( landmark one & F ( orange room ) ),navigate to landmark one then continue to the orange room .
F ( blue room & F ( third floor ) ),navigate to the third floor through the blue room .
F ( orange room & ~  landmark one ),go to the orange room while avoiding landmark one
F ( third floor & ~  yellow room ),go to the third floor and avoid the yellow room .
F ( second floor & F ( blue room ) ),navigate to the second floor before going to the blue room .
~   ( orange room ) U ( yellow room ),"go to the yellow room without going to the orange room . if you reached the yellow room , now you can go to the orange room ."
~   ( red room ) U ( yellow room ),avoid the red room until after you 've gone to the yellow room .
F ( yellow room & ~  orange room ),"avoid the orange room , navigate to the yellow room ."
F ( second floor & ~  yellow room ),go to the second floor but avoid the yellow room .
~   ( purple room ) U ( orange room ),go to the orange room without going through the purple room .
F ( red room & ~  landmark one ),go to the red room while avoiding landmark one
F ( landmark two & ~  orange room ),always avoid the orange room to navigate to landmark two .
~   ( yellow room ) U ( red room ),avoid the yellow room until you go to the red room .
F ( landmark two & ~  landmark three ),go to landmark two but avoid landmark three .
F ( blue room ) & G ( first floor ),go to the blue room only through the onest floor
~   ( landmark one ) U ( red room ),avoid landmark one until you go to the red room .
F ( landmark three ) & G ( first floor ),visit landmark three but do n't leave the first floor .
~   ( red room ) U ( landmark two ),go to landmark two but do not enter the red room first .
F ( green room & F ( landmark two ) ),go to the green room and then go to landmark two .
F ( first floor & F ( blue room ) ),go to the first floor then go to the blue room
F ( third floor & F ( red room ) ),navigate to the third floor before going to the red room .
F ( first floor & F ( purple room ) ),head to the purple room but first go to the first floor .
F ( red room & F ( yellow room ) ),always go through the red room to get to the yellow room .
F ( red room & F ( second floor ) ),go through the red room then to the second floor .
F ( landmark two ) & G ( yellow room ),stay in the yellow room to navigate to landmark two .
F ( landmark one & ~  purple room ),advance to landmark one but always avoid the purple room .
F ( yellow room & F ( second floor ) ),move to the second floor by going through the yellow room
~   ( purple room ) U ( blue room ),go to the blue room while avoiding the purple room and if you have reached the blue room then you can go to the purple room .
~   ( blue room ) U ( first floor ),go to or through the second floor always avoid going through the blue room
F ( third floor & F ( second floor ) ),navigate to the second floor always passing through the third floor .
F ( yellow room & F ( red room ) ),go through the yellow room before going to the red room .
F ( landmark three & F ( landmark two ) ),move through landmark one to landmark two .
F ( first floor & F ( red room ) ),go to the red room through the first floor .
F ( yellow room & F ( purple room ) ),"first navigate to the yellow room , then make your way to the purple room ."
F ( green room & F ( purple room ) ),proceed to the purple room by going through the green room .
F ( first floor & F ( green room ) ),"go to the first floor , then navigate to the green room ."
F ( blue room & F ( green room ) ),always go through the blue room to get to the green room .
F ( landmark one & F ( second floor ) ),go to landmark one before navigating to the second floor .
F ( landmark one & F ( second floor ) ),pass through landmark one on your way to the second floor .
F ( green room & F ( landmark one ) ),go to landmark one through the green room
